,YearSchluessel,Year,Stadt-/Landkreis,Unternehmensinsolvenzen je 10.000 st.-pfl. Untern.,LAND_NAME,LAND_ABK
5774,201305774,2013,Kreis Paderborn,97.5,Nordrhein-Westfalen,NW
5774,201705774,2017,Kreis Paderborn,73.7,Nordrhein-Westfalen,NW
5911,200905911,2009,Bochum,219.20000000000002,Nordrhein-Westfalen,NW
5911,201305911,2013,Bochum,181.5,Nordrhein-Westfalen,NW
5911,201705911,2017,Bochum,127.9,Nordrhein-Westfalen,NW
5913,200905913,2009,Dortmund,223.0,Nordrhein-Westfalen,NW
5913,201305913,2013,Dortmund,198.10000000000002,Nordrhein-Westfalen,NW
5913,201705913,2017,Dortmund,136.20000000000002,Nordrhein-Westfalen,NW
5914,200905914,2009,Hagen,134.1,Nordrhein-Westfalen,NW
5914,201305914,2013,Hagen,153.70000000000002,Nordrhein-Westfalen,NW
5914,201705914,2017,Hagen,101.60000000000001,Nordrhein-Westfalen,NW
5915,200905915,2009,Hamm,193.20000000000002,Nordrhein-Westfalen,NW
5915,201305915,2013,Hamm,163.4,Nordrhein-Westfalen,NW
5915,201705915,2017,Hamm,115.10000000000001,Nordrhein-Westfalen,NW
5916,200905916,2009,Herne,253.3,Nordrhein-Westfalen,NW
5916,201305916,2013,Herne,278.40000000000003,Nordrhein-Westfalen,NW
5916,201705916,2017,Herne,170.8,Nordrhein-Westfalen,NW
5954,200905954,2009,Ennepe-Ruhr-Kreis,121.5,Nordrhein-Westfalen,NW
5954,201305954,2013,Ennepe-Ruhr-Kreis,118.7,Nordrhein-Westfalen,NW
5954,201705954,2017,Ennepe-Ruhr-Kreis,95.30000000000001,Nordrhein-Westfalen,NW
5958,200905958,2009,Hochsauerlandkreis,107.9,Nordrhein-Westfalen,NW
5958,201305958,2013,Hochsauerlandkreis,109.2,Nordrhein-Westfalen,NW
5958,201705958,2017,Hochsauerlandkreis,77.2,Nordrhein-Westfalen,NW
5962,200905962,2009,Märkischer Kreis,165.9,Nordrhein-Westfalen,NW
5962,201305962,2013,Märkischer Kreis,134.0,Nordrhein-Westfalen,NW
5962,201705962,2017,Märkischer Kreis,71.0,Nordrhein-Westfalen,NW
5966,200905966,2009,Kreis Olpe,98.5,Nordrhein-Westfalen,NW
5966,201305966,2013,Kreis Olpe,94.7,Nordrhein-Westfalen,NW
5966,201705966,2017,Kreis Olpe,66.8,Nordrhein-Westfalen,NW
5970,200905970,2009,Kreis Siegen-Wittgenstein,106.4,Nordrhein-Westfalen,NW
5970,201305970,2013,Kreis Siegen-Wittgenstein,82.0,Nordrhein-Westfalen,NW
