,YearSchluessel,Year,Stadt-/Landkreis,Wanderungssaldo je 10.000 Einwohner,LAND_NAME,LAND_ABK
3361,201303361,2013,Landkreis Verden,48.400000000000006,Niedersachsen,NI
3361,201703361,2017,Landkreis Verden,69.9,Niedersachsen,NI
3401,199503401,1995,Delmenhorst,35.7,Niedersachsen,NI
3401,200003401,2000,Delmenhorst,-43.800000000000004,Niedersachsen,NI
3401,200503401,2005,Delmenhorst,-5.0,Niedersachsen,NI
3401,200903401,2009,Delmenhorst,-6.7,Niedersachsen,NI
3401,201303401,2013,Delmenhorst,94.30000000000001,Niedersachsen,NI
3401,201703401,2017,Delmenhorst,60.800000000000004,Niedersachsen,NI
3402,199503402,1995,Emden,-46.1,Niedersachsen,NI
3402,200003402,2000,Emden,-31.6,Niedersachsen,NI
3402,200503402,2005,Emden,37.9,Niedersachsen,NI
3402,200903402,2009,Emden,-17.3,Niedersachsen,NI
3402,201303402,2013,Emden,50.2,Niedersachsen,NI
3402,201703402,2017,Emden,52.2,Niedersachsen,NI
3403,199503403,1995,Oldenburg,122.5,Niedersachsen,NI
3403,200003403,2000,Oldenburg,37.7,Niedersachsen,NI
3403,200503403,2005,Oldenburg,21.900000000000002,Niedersachsen,NI
3403,200903403,2009,Oldenburg,76.2,Niedersachsen,NI
3403,201303403,2013,Oldenburg,67.10000000000001,Niedersachsen,NI
3403,201703403,2017,Oldenburg,85.5,Niedersachsen,NI
3404,199503404,1995,Osnabrück,42.400000000000006,Niedersachsen,NI
3404,200003404,2000,Osnabrück,-21.900000000000002,Niedersachsen,NI
3404,200503404,2005,Osnabrück,-28.400000000000002,Niedersachsen,NI
3404,200903404,2009,Osnabrück,27.200000000000003,Niedersachsen,NI
3404,201303404,2013,Osnabrück,57.800000000000004,Niedersachsen,NI
3404,201703404,2017,Osnabrück,23.400000000000002,Niedersachsen,NI
3405,199503405,1995,Wilhelmshaven,-39.5,Niedersachsen,NI
3405,200003405,2000,Wilhelmshaven,-81.5,Niedersachsen,NI
3405,200503405,2005,Wilhelmshaven,-7.300000000000001,Niedersachsen,NI
3405,200903405,2009,Wilhelmshaven,28.700000000000003,Niedersachsen,NI
3405,201303405,2013,Wilhelmshaven,-31.400000000000002,Niedersachsen,NI
3405,201703405,2017,Wilhelmshaven,79.7,Niedersachsen,NI
3451,199503451,1995,Landkreis Ammerland,99.60000000000001,Niedersachsen,NI
3451,200003451,2000,Landkreis Ammerland,99.5,Niedersachsen,NI
3451,200503451,2005,Landkreis Ammerland,69.2,Niedersachsen,NI
3451,200903451,2009,Landkreis Ammerland,61.300000000000004,Niedersachsen,NI
3451,201303451,2013,Landkreis Ammerland,60.2,Niedersachsen,NI
3451,201703451,2017,Landkreis Ammerland,76.2,Niedersachsen,NI
3452,199503452,1995,Landkreis Aurich,84.10000000000001,Niedersachsen,NI
3452,200003452,2000,Landkreis Aurich,63.6,Niedersachsen,NI
3452,200503452,2005,Landkreis Aurich,20.8,Niedersachsen,NI
3452,200903452,2009,Landkreis Aurich,13.100000000000001,Niedersachsen,NI
3452,201303452,2013,Landkreis Aurich,64.2,Niedersachsen,NI
3452,201703452,2017,Landkreis Aurich,32.6,Niedersachsen,NI
3453,199503453,1995,Landkreis Cloppenburg,272.6,Niedersachsen,NI
3453,200003453,2000,Landkreis Cloppenburg,64.0,Niedersachsen,NI
3453,200503453,2005,Landkreis Cloppenburg,26.900000000000002,Niedersachsen,NI
3453,200903453,2009,Landkreis Cloppenburg,7.7,Niedersachsen,NI
3453,201303453,2013,Landkreis Cloppenburg,1.1,Niedersachsen,NI
3453,201703453,2017,Landkreis Cloppenburg,98.80000000000001,Niedersachsen,NI
3454,199503454,1995,Landkreis Emsland,188.9,Niedersachsen,NI
3454,200003454,2000,Landkreis Emsland,28.0,Niedersachsen,NI
3454,200503454,2005,Landkreis Emsland,17.1,Niedersachsen,NI
3454,200903454,2009,Landkreis Emsland,-16.900000000000002,Niedersachsen,NI
3454,201303454,2013,Landkreis Emsland,42.2,Niedersachsen,NI
3454,201703454,2017,Landkreis Emsland,68.2,Niedersachsen,NI
3455,199503455,1995,Landkreis Friesland,71.2,Niedersachsen,NI
3455,200003455,2000,Landkreis Friesland,62.900000000000006,Niedersachsen,NI
3455,200503455,2005,Landkreis Friesland,0.1,Niedersachsen,NI
3455,200903455,2009,Landkreis Friesland,-4.6000000000000005,Niedersachsen,NI
